No.,Time,Source,Destination,Protocol,Length,Info,,,,,,Time 2,Time 1,Delay 2,Delay 1,Jitter
40,0.121458,151.101.64.134,192.168.43.170,TLSv1.2,1454,Application Data [TCP segment of a reassembled PDU],,,,,,0.121608,0.121458,0.000105,0.00015,-4.5E-05
41,0.121608,151.101.64.134,192.168.43.170,TLSv1.2,289,Application Data,,,,,,0.121713,0.121608,0.008945,0.000105,0.00884
42,0.121713,192.168.43.170,151.101.64.134,TCP,54,51205  >  443 [ACK] Seq=1 Ack=15636 Win=257 Len=0,,,,,,0.130658,0.121713,7.1E-05,0.008945,-0.008874
43,0.130658,151.101.64.134,192.168.43.170,TCP,1454,"[TCP Spurious Retransmission] 443  >  51205 [PSH, ACK] Seq=14236 Ack=1 Win=833 Len=1400",,,,,,0.130729,0.130658,0.052126,7.1E-05,0.052055
44,0.130729,192.168.43.170,151.101.64.134,TCP,66,[TCP Dup ACK 42#1] 51205  >  443 [ACK] Seq=1 Ack=15636 Win=257 Len=0 SLE=14236 SRE=15636,,,,,,0.182855,0.130729,0.035154,0.052126,-0.016972
45,0.182855,142.250.4.132,192.168.43.170,UDP,68,443  >  63800 Len=26,,,,,,0.218009,0.182855,0.002037,0.035154,-0.033117
46,0.218009,74.125.24.121,192.168.43.170,TLSv1.2,178,Application Data,,,,,,0.220046,0.218009,0,0.002037,-0.002037
47,0.220046,74.125.24.121,192.168.43.170,TCP,1454,443  >  51135 [ACK] Seq=125 Ack=1 Win=811 Len=1400 [TCP segment of a reassembled PDU],,,,,,0.220046,0.220046,3.7E-05,0,3.7E-05
48,0.220046,74.125.24.121,192.168.43.170,TLSv1.2,84,Application Data,,,,,,0.220083,0.220046,0.003042,3.7E-05,0.003005
49,0.220083,192.168.43.170,74.125.24.121,TCP,54,51135  >  443 [ACK] Seq=1 Ack=1555 Win=257 Len=0,,,,,,0.223125,0.220083,0,0.003042,-0.003042
50,0.223125,74.125.24.121,192.168.43.170,TCP,1454,443  >  51135 [ACK] Seq=1555 Ack=1 Win=811 Len=1400 [TCP segment of a reassembled PDU],,,,,,0.223125,0.223125,0,0,0
51,0.223125,74.125.24.121,192.168.43.170,TLSv1.2,1454,Application Data [TCP segment of a reassembled PDU],,,,,,0.223125,0.223125,0.000198,0,0.000198
52,0.223125,74.125.24.121,192.168.43.170,TLSv1.2,72,Application Data,,,,,,0.223323,0.223125,0.015126,0.000198,0.014928
53,0.223323,192.168.43.170,74.125.24.121,TCP,54,51135  >  443 [ACK] Seq=1 Ack=4373 Win=257 Len=0,,,,,,0.238449,0.223323,0.001072,0.015126,-0.014054
54,0.238449,74.125.24.121,192.168.43.170,TLSv1.2,263,"Application Data, Application Data",,,,,,0.239521,0.238449,0.006252,0.001072,0.00518
55,0.239521,192.168.43.170,74.125.24.121,TLSv1.2,93,Application Data,,,,,,0.245773,0.239521,0.005499,0.006252,-0.000753
56,0.245773,192.168.43.170,142.250.4.132,UDP,75,53458  >  443 Len=33,,,,,,0.251272,0.245773,0.000557,0.005499,-0.004942
57,0.251272,192.168.43.170,142.250.4.132,UDP,213,53458  >  443 Len=171,,,,,,0.251829,0.251272,0.001811,0.000557,0.001254
58,0.251829,192.168.43.170,142.250.4.132,UDP,272,53458  >  443 Len=230,,,,,,0.25364,0.251829,0.000532,0.001811,-0.001279
59,0.25364,192.168.43.170,142.251.10.132,QUIC,1292,"Initial, DCID=5d3b00db23f0fa12, PKN: 1, PADDING, CRYPTO, PADDING, CRYPTO, PING, CRYPTO, PADDING, CRYPTO, CRYPTO, PING, CRYPTO, PADDING, PING, CRYPTO, CRYPTO",,,,,,0.254172,0.25364,0.000782,0.000532,0.00025
60,0.254172,192.168.43.170,142.251.10.132,QUIC,116,"0-RTT, DCID=5d3b00db23f0fa12",,,,,,0.254954,0.254172,0.00058,0.000782,-0.000202
61,0.254954,192.168.43.170,142.251.10.132,QUIC,558,"0-RTT, DCID=5d3b00db23f0fa12",,,,,,0.255534,0.254954,0.000199,0.00058,-0.000381
62,0.255534,192.168.43.170,142.250.4.132,UDP,271,53458  >  443 Len=229,,,,,,0.255733,0.255534,0.000372,0.000199,0.000173
63,0.255733,192.168.43.170,142.250.4.132,UDP,291,53458  >  443 Len=249,,,,,,0.256105,0.255733,0.017457,0.000372,0.017085
64,0.256105,192.168.43.170,142.250.4.132,UDP,206,53458  >  443 Len=164,,,,,,0.273562,0.256105,0.02405,0.017457,0.006593
65,0.273562,74.125.24.121,192.168.43.170,TCP,54,443  >  51135 [ACK] Seq=4582 Ack=40 Win=813 Len=0,,,,,,0.297612,0.273562,0,0.02405,-0.02405
66,0.297612,142.250.4.132,192.168.43.170,UDP,67,443  >  53458 Len=25,,,,,,0.297612,0.297612,0.004902,0,0.004902
67,0.297612,142.250.4.132,192.168.43.170,UDP,70,443  >  53458 Len=28,,,,,,0.302514,0.297612,0.000575,0.004902,-0.004327
68,0.302514,142.250.4.132,192.168.43.170,UDP,1288,443  >  53458 Len=1246,,,,,,0.303089,0.302514,0.004427,0.000575,0.003852
69,0.303089,192.168.43.170,142.250.4.132,UDP,77,53458  >  443 Len=35,,,,,,0.307516,0.303089,0.016338,0.004427,0.011911
70,0.307516,142.250.4.132,192.168.43.170,UDP,1292,443  >  53458 Len=1250,,,,,,0.323854,0.307516,0.000381,0.016338,-0.015957
71,0.323854,142.250.4.132,192.168.43.170,UDP,1292,443  >  53458 Len=1250,,,,,,0.324235,0.323854,0,0.000381,-0.000381
72,0.324235,142.251.10.132,192.168.43.170,QUIC,1292,Protected Payload (KP0),,,,,,0.324235,0.324235,0,0,0
73,0.324235,142.250.4.132,192.168.43.170,UDP,316,443  >  53458 Len=274,,,,,,0.324235,0.324235,0.000745,0,0.000745
74,0.324235,142.250.4.132,192.168.43.170,UDP,67,443  >  53458 Len=25,,,,,,0.32498,0.324235,0.000908,0.000745,0.000163
75,0.32498,192.168.43.170,142.250.4.132,UDP,75,53458  >  443 Len=33,,,,,,0.325888,0.32498,0.000783,0.000908,-0.000125
76,0.325888,192.168.43.170,142.250.4.132,UDP,75,53458  >  443 Len=33,,,,,,0.326671,0.325888,0.001034,0.000783,0.000251
77,0.326671,192.168.43.170,142.251.10.132,QUIC,121,"Handshake, DCID=5d3b00db23f0fa12",,,,,,0.327705,0.326671,0,0.001034,-0.001034
78,0.327705,142.251.10.132,192.168.43.170,QUIC,664,Protected Payload (KP0),,,,,,0.327705,0.327705,0,0,0
79,0.327705,142.251.10.132,192.168.43.170,QUIC,70,Protected Payload (KP0),,,,,,0.327705,0.327705,0,0,0
80,0.327705,142.250.4.132,192.168.43.170,UDP,69,443  >  53458 Len=27,,,,,,0.327705,0.327705,0,0,0
81,0.327705,142.250.4.132,192.168.43.170,UDP,67,443  >  53458 Len=25,,,,,,0.327705,0.327705,0,0,0
82,0.327705,142.250.4.132,192.168.43.170,UDP,67,443  >  53458 Len=25,,,,,,0.327705,0.327705,0,0,0
83,0.327705,142.250.4.132,192.168.43.170,UDP,69,443  >  53458 Len=27,,,,,,0.327705,0.327705,0,0,0
84,0.327705,142.250.4.132,192.168.43.170,UDP,1288,443  >  53458 Len=1246,,,,,,0.327705,0.327705,0.000347,0,0.000347
85,0.327705,142.250.4.132,192.168.43.170,UDP,1292,443  >  53458 Len=1250,,,,,,0.328052,0.327705,0.000493,0.000347,0.000146
86,0.328052,192.168.43.170,142.251.10.132,QUIC,75,"Protected Payload (KP0), DCID=5d3b00db23f0fa12",,,,,,0.328545,0.328052,0.000258,0.000493,-0.000235
87,0.328545,192.168.43.170,142.250.4.132,UDP,75,53458  >  443 Len=33,,,,,,0.328803,0.328545,0.010191,0.000258,0.009933
88,0.328803,192.168.43.170,142.250.4.132,UDP,77,53458  >  443 Len=35,,,,,,0.338994,0.328803,0,0.010191,-0.010191
89,0.338994,142.250.4.132,192.168.43.170,UDP,1292,443  >  53458 Len=1250,,,,,,0.338994,0.338994,0,0,0
90,0.338994,142.250.4.132,192.168.43.170,UDP,1292,443  >  53458 Len=1250,,,,,,0.338994,0.338994,0,0,0
91,0.338994,142.250.4.132,192.168.43.170,UDP,1292,443  >  53458 Len=1250,,,,,,0.338994,0.338994,0,0,0
92,0.338994,142.250.4.132,192.168.43.170,UDP,1292,443  >  53458 Len=1250,,,,,,0.338994,0.338994,0.000329,0,0.000329
93,0.338994,142.250.4.132,192.168.43.170,UDP,656,443  >  53458 Len=614,,,,,,0.339323,0.338994,0.000152,0.000329,-0.000177
94,0.339323,192.168.43.170,142.250.4.132,UDP,75,53458  >  443 Len=33,,,,,,0.339475,0.339323,7.2E-05,0.000152,-8E-05
95,0.339475,192.168.43.170,142.250.4.132,UDP,75,53458  >  443 Len=33,,,,,,0.339547,0.339475,0.014281,7.2E-05,0.014209
96,0.339547,192.168.43.170,142.250.4.132,UDP,75,53458  >  443 Len=33,,,,,,0.353828,0.339547,0.01871,0.014281,0.004429
97,0.353828,192.168.43.170,142.251.10.132,QUIC,75,"Protected Payload (KP0), DCID=5d3b00db23f0fa12",,,,,,0.372538,0.353828,0.030159,0.01871,0.011449
98,0.372538,142.250.4.132,192.168.43.170,UDP,67,443  >  53458 Len=25,,,,,,0.402697,0.372538,0.017224,0.030159,-0.012935
99,0.402697,142.250.4.132,192.168.43.170,UDP,67,443  >  53458 Len=25,,,,,,0.419921,0.402697,0.000226,0.017224,-0.016998
100,0.419921,142.250.4.132,192.168.43.170,UDP,1288,443  >  53458 Len=1246,,,,,,0.420147,0.419921,0,0.000226,-0.000226
101,0.420147,142.250.4.132,192.168.43.170,UDP,551,443  >  53458 Len=509,,,,,,0.420147,0.420147,0.000568,0,0.000568
102,0.420147,142.250.4.132,192.168.43.170,UDP,67,443  >  53458 Len=25,,,,,,0.420715,0.420147,0.000239,0.000568,-0.000329
103,0.420715,192.168.43.170,142.250.4.132,UDP,77,53458  >  443 Len=35,,,,,,0.420954,0.420715,0.005571,0.000239,0.005332
104,0.420954,192.168.43.170,142.250.4.132,UDP,75,53458  >  443 Len=33,,,,,,0.426525,0.420954,0.000375,0.005571,-0.005196
105,0.426525,142.251.10.132,192.168.43.170,QUIC,1288,Protected Payload (KP0),,,,,,0.4269,0.426525,0.000345,0.000375,-3E-05
106,0.4269,192.168.43.170,142.251.10.132,QUIC,77,"Protected Payload (KP0), DCID=5d3b00db23f0fa12",,,,,,0.427245,0.4269,0,0.000345,-0.000345
107,0.427245,142.251.10.132,192.168.43.170,QUIC,1292,Protected Payload (KP0),,,,,,0.427245,0.427245,0,0,0
108,0.427245,142.251.10.132,192.168.43.170,QUIC,592,Protected Payload (KP0),,,,,,0.427245,0.427245,0,0,0
109,0.427245,74.125.24.121,192.168.43.170,TLSv1.2,201,Application Data,,,,,,0.427245,0.427245,0,0,0
110,0.427245,74.125.24.121,192.168.43.170,TCP,1454,443  >  51135 [ACK] Seq=4729 Ack=40 Win=813 Len=1400 [TCP segment of a reassembled PDU],,,,,,0.427245,0.427245,0,0,0
111,0.427245,74.125.24.121,192.168.43.170,TLSv1.2,84,Application Data,,,,,,0.427245,0.427245,8.5E-05,0,8.5E-05
112,0.427245,74.125.24.121,192.168.43.170,TCP,1454,443  >  51135 [ACK] Seq=6159 Ack=40 Win=813 Len=1400 [TCP segment of a reassembled PDU],,,,,,0.42733,0.427245,0.000249,8.5E-05,0.000164
113,0.42733,192.168.43.170,74.125.24.121,TCP,54,51135  >  443 [ACK] Seq=40 Ack=7559 Win=257 Len=0,,,,,,0.427579,0.42733,0.00782,0.000249,0.007571
114,0.427579,192.168.43.170,142.251.10.132,QUIC,75,"Protected Payload (KP0), DCID=5d3b00db23f0fa12",,,,,,0.435399,0.427579,0.000251,0.00782,-0.007569
115,0.435399,142.251.10.132,192.168.43.170,QUIC,135,Protected Payload (KP0),,,,,,0.43565,0.435399,0,0.000251,-0.000251
116,0.43565,74.125.24.121,192.168.43.170,TLSv1.2,950,"Application Data, Application Data",,,,,,0.43565,0.43565,0.000202,0,0.000202
117,0.43565,74.125.24.121,192.168.43.170,TLSv1.2,228,"Application Data, Application Data",,,,,,0.435852,0.43565,0.000292,0.000202,9E-05
118,0.435852,192.168.43.170,74.125.24.121,TCP,54,51135  >  443 [ACK] Seq=40 Ack=8629 Win=252 Len=0,,,,,,0.436144,0.435852,0.0084,0.000292,0.008108
119,0.436144,192.168.43.170,74.125.24.121,TLSv1.2,93,Application Data,,,,,,0.444544,0.436144,0.000501,0.0084,-0.007899
120,0.444544,192.168.43.170,142.251.10.132,QUIC,194,"Protected Payload (KP0), DCID=5d3b00db23f0fa12",,,,,,0.445045,0.444544,0.000373,0.000501,-0.000128
121,0.445045,192.168.43.170,142.251.10.132,QUIC,200,"Protected Payload (KP0), DCID=5d3b00db23f0fa12",,,,,,0.445418,0.445045,0.00016,0.000373,-0.000213
122,0.445418,192.168.43.170,142.251.10.132,QUIC,194,"Protected Payload (KP0), DCID=5d3b00db23f0fa12",,,,,,0.445578,0.445418,0.000139,0.00016,-2.1E-05
123,0.445578,192.168.43.170,142.251.10.132,QUIC,195,"Protected Payload (KP0), DCID=5d3b00db23f0fa12",,,,,,0.445717,0.445578,0.000214,0.000139,7.5E-05
124,0.445717,192.168.43.170,142.251.10.132,QUIC,196,"Protected Payload (KP0), DCID=5d3b00db23f0fa12",,,,,,0.445931,0.445717,0.036348,0.000214,0.036134
125,0.445931,192.168.43.170,142.251.10.132,QUIC,185,"Protected Payload (KP0), DCID=5d3b00db23f0fa12",,,,,,0.482279,0.445931,0.014038,0.036348,-0.02231
126,0.482279,74.125.24.121,192.168.43.170,TCP,54,443  >  51135 [ACK] Seq=8629 Ack=79 Win=814 Len=0,,,,,,0.496317,0.482279,0.00015,0.014038,-0.013888
127,0.496317,151.101.64.134,192.168.43.170,TLSv1.2,515,Application Data,,,,,,0.496467,0.496317,0.000987,0.00015,0.000837
128,0.496467,142.251.10.132,192.168.43.170,QUIC,67,Protected Payload (KP0),,,,,,0.497454,0.496467,0,0.000987,-0.000987
129,0.497454,142.251.10.132,192.168.43.170,QUIC,71,Protected Payload (KP0),,,,,,0.497454,0.497454,0,0,0
130,0.497454,142.251.10.132,192.168.43.170,QUIC,67,Protected Payload (KP0),,,,,,0.497454,0.497454,0.000222,0,0.000222
131,0.497454,142.251.10.132,192.168.43.170,QUIC,67,Protected Payload (KP0),,,,,,0.497676,0.497454,9.4E-05,0.000222,-0.000128
132,0.497676,142.251.10.132,192.168.43.170,QUIC,1288,Protected Payload (KP0),,,,,,0.49777,0.497676,0.000287,9.4E-05,0.000193
133,0.49777,192.168.43.170,142.251.10.132,QUIC,75,"Protected Payload (KP0), DCID=5d3b00db23f0fa12",,,,,,0.498057,0.49777,6.3E-05,0.000287,-0.000224
134,0.498057,192.168.43.170,142.251.10.132,QUIC,77,"Protected Payload (KP0), DCID=5d3b00db23f0fa12",,,,,,0.49812,0.498057,0.004233,6.3E-05,0.00417
135,0.49812,142.251.10.132,192.168.43.170,QUIC,1292,Protected Payload (KP0),,,,,,0.502353,0.49812,0.00034,0.004233,-0.003893
136,0.502353,142.251.10.132,192.168.43.170,QUIC,1292,Protected Payload (KP0),,,,,,0.502693,0.502353,9.5E-05,0.00034,-0.000245
137,0.502693,192.168.43.170,142.251.10.132,QUIC,75,"Protected Payload (KP0), DCID=5d3b00db23f0fa12",,,,,,0.502788,0.502693,0,9.5E-05,-9.5E-05
138,0.502788,142.251.10.132,192.168.43.170,QUIC,1292,Protected Payload (KP0),,,,,,0.502788,0.502788,0.000285,0,0.000285
139,0.502788,142.251.10.132,192.168.43.170,QUIC,1292,Protected Payload (KP0),,,,,,0.503073,0.502788,0.001181,0.000285,0.000896
140,0.503073,192.168.43.170,142.251.10.132,QUIC,75,"Protected Payload (KP0), DCID=5d3b00db23f0fa12",,,,,,0.504254,0.503073,0.005419,0.001181,0.004238
141,0.504254,142.251.10.132,192.168.43.170,QUIC,1292,Protected Payload (KP0),,,,,,0.509673,0.504254,0,0.005419,-0.005419
142,0.509673,142.251.10.132,192.168.43.170,QUIC,1292,Protected Payload (KP0),,,,,,0.509673,0.509673,0,0,0
143,0.509673,142.251.10.132,192.168.43.170,QUIC,1292,Protected Payload (KP0),,,,,,0.509673,0.509673,0,0,0
144,0.509673,142.251.10.132,192.168.43.170,QUIC,1292,Protected Payload (KP0),,,,,,0.509673,0.509673,0,0,0
145,0.509673,142.251.10.132,192.168.43.170,QUIC,1292,Protected Payload (KP0),,,,,,0.509673,0.509673,0,0,0
146,0.509673,142.251.10.132,192.168.43.170,QUIC,67,Protected Payload (KP0),,,,,,0.509673,0.509673,0,0,0
147,0.509673,142.251.10.132,192.168.43.170,QUIC,67,Protected Payload (KP0),,,,,,0.509673,0.509673,0,0,0
148,0.509673,142.251.10.132,192.168.43.170,QUIC,1292,Protected Payload (KP0),,,,,,0.509673,0.509673,0,0,0
149,0.509673,142.251.10.132,192.168.43.170,QUIC,67,Protected Payload (KP0),,,,,,0.509673,0.509673,0,0,0
150,0.509673,142.251.10.132,192.168.43.170,QUIC,1292,Protected Payload (KP0),,,,,,0.509673,0.509673,0.000403,0,0.000403
151,0.509673,142.251.10.132,192.168.43.170,QUIC,1292,Protected Payload (KP0),,,,,,0.510076,0.509673,0.000237,0.000403,-0.000166
152,0.510076,192.168.43.170,142.251.10.132,QUIC,75,"Protected Payload (KP0), DCID=5d3b00db23f0fa12",,,,,,0.510313,0.510076,0.000249,0.000237,1.2E-05
153,0.510313,192.168.43.170,142.251.10.132,QUIC,75,"Protected Payload (KP0), DCID=5d3b00db23f0fa12",,,,,,0.510562,0.510313,0.000231,0.000249,-1.8E-05
154,0.510562,192.168.43.170,142.251.10.132,QUIC,75,"Protected Payload (KP0), DCID=5d3b00db23f0fa12",,,,,,0.510793,0.510562,0.002439,0.000231,0.002208
155,0.510793,192.168.43.170,142.251.10.132,QUIC,75,"Protected Payload (KP0), DCID=5d3b00db23f0fa12",,,,,,0.513232,0.510793,8.3E-05,0.002439,-0.002356
156,0.513232,142.250.4.132,192.168.43.170,UDP,67,443  >  53458 Len=25,,,,,,0.513315,0.513232,0.025363,8.3E-05,0.02528
157,0.513315,142.251.10.132,192.168.43.170,QUIC,1292,Protected Payload (KP0),,,,,,0.538678,0.513315,0.000935,0.025363,-0.024428
158,0.538678,192.168.43.170,142.251.10.132,QUIC,75,"Protected Payload (KP0), DCID=5d3b00db23f0fa12",,,,,,0.539613,0.538678,0.002079,0.000935,0.001144
159,0.539613,192.168.43.170,151.101.64.134,TCP,54,51201  >  443 [ACK] Seq=1 Ack=462 Win=255 Len=0,,,,,,0.541692,0.539613,0.00042,0.002079,-0.001659
160,0.541692,142.251.10.132,192.168.43.170,QUIC,1292,Protected Payload (KP0),,,,,,0.542112,0.541692,0,0.00042,-0.00042
161,0.542112,142.251.10.132,192.168.43.170,QUIC,1292,Protected Payload (KP0),,,,,,0.542112,0.542112,0,0,0
162,0.542112,142.251.10.132,192.168.43.170,QUIC,1292,Protected Payload (KP0),,,,,,0.542112,0.542112,0,0,0
163,0.542112,142.251.10.132,192.168.43.170,QUIC,1292,Protected Payload (KP0),,,,,,0.542112,0.542112,0,0,0
164,0.542112,142.251.10.132,192.168.43.170,QUIC,1292,Protected Payload (KP0),,,,,,0.542112,0.542112,0,0,0
165,0.542112,142.251.10.132,192.168.43.170,QUIC,1288,Protected Payload (KP0),,,,,,0.542112,0.542112,0,0,0
166,0.542112,142.251.10.132,192.168.43.170,QUIC,1292,Protected Payload (KP0),,,,,,0.542112,0.542112,0.000487,0,0.000487
167,0.542112,142.251.10.132,192.168.43.170,QUIC,1292,Protected Payload (KP0),,,,,,0.542599,0.542112,0.000245,0.000487,-0.000242
168,0.542599,192.168.43.170,142.251.10.132,QUIC,75,"Protected Payload (KP0), DCID=5d3b00db23f0fa12",,,,,,0.542844,0.542599,0.00026,0.000245,1.5E-05
169,0.542844,192.168.43.170,142.251.10.132,QUIC,75,"Protected Payload (KP0), DCID=5d3b00db23f0fa12",,,,,,0.543104,0.542844,0.000203,0.00026,-5.7E-05
170,0.543104,192.168.43.170,142.251.10.132,QUIC,77,"Protected Payload (KP0), DCID=5d3b00db23f0fa12",,,,,,0.543307,0.543104,0.012694,0.000203,0.012491
171,0.543307,192.168.43.170,142.251.10.132,QUIC,75,"Protected Payload (KP0), DCID=5d3b00db23f0fa12",,,,,,0.556001,0.543307,0.001034,0.012694,-0.01166
172,0.556001,142.251.10.132,192.168.43.170,QUIC,1292,Protected Payload (KP0),,,,,,0.557035,0.556001,0,0.001034,-0.001034
173,0.557035,142.251.10.132,192.168.43.170,QUIC,1292,Protected Payload (KP0),,,,,,0.557035,0.557035,0,0,0
174,0.557035,142.251.10.132,192.168.43.170,QUIC,1292,Protected Payload (KP0),,,,,,0.557035,0.557035,0,0,0
175,0.557035,142.251.10.132,192.168.43.170,QUIC,1292,Protected Payload (KP0),,,,,,0.557035,0.557035,0.000372,0,0.000372
176,0.557035,142.251.10.132,192.168.43.170,QUIC,1292,Protected Payload (KP0),,,,,,0.557407,0.557035,0,0.000372,-0.000372
177,0.557407,142.251.10.132,192.168.43.170,QUIC,1292,Protected Payload (KP0),,,,,,0.557407,0.557407,0.000415,0,0.000415
178,0.557407,142.251.10.132,192.168.43.170,QUIC,1292,Protected Payload (KP0),,,,,,0.557822,0.557407,0.000177,0.000415,-0.000238
179,0.557822,192.168.43.170,142.251.10.132,QUIC,75,"Protected Payload (KP0), DCID=5d3b00db23f0fa12",,,,,,0.557999,0.557822,6.7E-05,0.000177,-0.00011
180,0.557999,192.168.43.170,142.251.10.132,QUIC,75,"Protected Payload (KP0), DCID=5d3b00db23f0fa12",,,,,,0.558066,0.557999,0.005729,6.7E-05,0.005662
